identifier,interface_phenotype,probability
1MDY_B,I001,0.9316758008673084
1MEY_F,I001,0.7305128039670059
1MHD_A,I001,1.0
1MJE_A,I001,0.9479698810220077
1MJO_A,I001,1.0
1MM8_A,I001,0.9246267958169326
1MOW_A,I001,0.8886594518348404
1MSE_C,I001,0.897490287355654
1MSW_D,I001,0.8572812161282958
1MUH_A,I001,0.9246267958169326
1MUS_A,I001,0.9246267958169326
1MVM_A,I001,0.5040476276815797
1MW8_X,I001,1.0
1MWI_A,I001,0.8077033831389016
1N3A_A,I001,1.0
1N3C_A,I001,1.0
1N3E_A,I001,0.9398786838463266
1N48_A,I001,1.0
1N6J_A,I001,0.9917302701544719
1NFK_A,I001,1.0
1NG9_A,I001,1.0
1NK2_P,I001,1.0
1NK4_A,I001,1.0
1NKP_A,I001,0.8167015905145403
1NKP_B,I001,0.9316758008673084
1NLW_A,I001,0.9316758008673084
1NLW_B,I001,0.9316758008673084
1NNE_A,I001,0.9026321670918664
1NVP_A,I001,1.0
1NWQ_A,I001,0.9210946552562702
1NZB_A,I001,1.0
1O3Q_A,I001,1.0
1O3S_A,I001,1.0
1ODG_A,I001,0.9539281201761509
1ODH_A,I001,1.0
1OE4_A,I001,0.9183600645598404
1ORN_A,I001,1.0
1OSB_A,I001,0.756421988756865
1OUP_A,I001,0.7634451914602979
1OWF_A,I001,0.7633129358920642
1OWF_B,I001,0.7901967685351021
1OWG_B,I001,0.6786107937329418
1OWR_M,I001,1.0
1P47_A,I001,1.0
1P4E_B,I001,0.9207972235692563
1P59_A,I001,1.0
1P5W_A,I001,0.7956172951267863
1P71_A,I001,0.8755067274510491
1P7H_L,I001,0.9960430039973571
1PDN_C,I001,0.8460851789769723
1PER_L,I001,0.865981817481136
1PFI_A,I001,0.30671005920361566
1PGZ_A,I001,0.9683784171524589
1PH1_A,I001,0.9907835622108624
1PH3_A,I001,1.0
1PH3_B,I001,0.9126771575352036
1PH5_A,I001,0.9152811372532412
1PH6_B,I001,0.938830619906748
1PJJ_A,I001,1.0
1PO6_A,I001,0.9683784171524589
1PT3_A,I001,0.7803498470454078
1PUE_F,I001,1.0
1PUF_A,I001,1.0
1PUF_B,I001,1.0
1PVP_A,I001,1.0
1PVR_A,I001,1.0
1PYI_A,I001,0.8438590577467726
1Q0T_A,I001,0.7069567163438062
1Q3U_A,I001,1.0
1Q9Y_A,I001,1.0
1QAI_A,I001,0.9572475907240263
1QAJ_A,I001,0.8623989204624032
1QP9_A,I001,0.9917302701544719
1QPI_A,I001,0.5129503671051436
1QPS_A,I001,0.6098392707571756
1QPZ_A,I001,1.0
1QRH_A,I001,1.0
1QRI_A,I001,1.0
1QRV_A,I001,0.8416129800533994
1QSS_A,I001,1.0
1QTM_A,I001,1.0
1QUM_A,I001,1.0
1QZG_A,I001,0.8286368444638039
1R0A_A,I001,1.0
1R0A_B,I_NOISE,0.0
1R0N_A,I001,1.0
1R2Z_A,I001,1.0
1R49_A,I001,1.0
1R8D_A,I001,0.9362510839248326
1R8E_A,I001,1.0
1RCS_A,I001,1.0
1RNB_A,I001,0.9672708147894895
1RTD_A,I001,1.0
1RTD_B,I_NOISE,0.0
1RUO_B,I001,1.0
1RXW_A,I001,1.0
1RZT_A,I001,1.0
1S40_A,I001,0.6292626894454286
1S9K_C,I001,1.0
1S9K_D,I001,0.7784707303529828
1S9K_E,I001,0.6036217389595097
1SA3_A,I001,1.0
1SAX_A,I001,1.0
1SFU_A,I001,0.9008581139258601
1SUZ_A,I001,1.0
1SX5_A,I001,0.5380961200622497
1T03_B,I002,0.47575126343037993
1T05_B,I002,1.0
1T2K_A,I001,1.0
1T2K_C,I_NOISE,0.0
1T2K_D,I001,0.9254307019918643
1T2S_A,I001,0.4849473664606977
1T3N_A,I001,1.0
1T8E_B,I_NOISE,0.0
1T9I_B,I001,1.0
1T9J_A,I001,1.0
1TAU_A,I001,1.0
1TC3_C,I001,0.6379299070239133
1TDZ_A,I001,1.0
1TEZ_A,I001,1.0
1TF3_A,I001,0.7018278580306926
1TF6_D,I001,0.7128101413797294
1TGH_A,I001,1.0
1TKD_A,I001,1.0
1TQE_P,I001,1.0
1TRO_A,I001,1.0
1TRR_A,I001,0.90893094989227
1TV9_A,I001,1.0
1U0C_A,I001,1.0
1U0D_A,I001,1.0
1U1Q_A,I001,0.9683784171524589
1U3E_M,I001,0.5566718786337941
1U4B_A,I001,1.0
1U8R_H,I001,1.0
1UAA_A,I001,0.8786788136083495
1UBD_C,I001,0.9859860549757551
1UUT_A,I001,0.760710662700735
1V15_B,I001,0.9954229594165718
1VAS_A,I001,1.0
1VFC_A,I001,0.7633141277920606
1VKX_A,I001,1.0
1VOL_A,I001,0.9685779811843765
1VOL_B,I001,1.0
1VPW_A,I001,1.0
1VRL_A,I001,1.0
1VTL_E,I001,1.0
1VTN_C,I001,1.0
1VTO_B,I001,1.0
1W0T_A,I001,1.0
1W0U_A,I001,0.9393296587671729
1W36_B,I001,0.6373813323683268
1W36_C,I001,0.7735227278451772
1W7A_A,I001,1.0
1WB9_A,I001,1.0
1WBB_A,I001,1.0
1WBD_A,I001,1.0
1WTB_A,I001,0.5832455659654813
1WTE_A,I001,0.9780227195820694
1WTO_A,I001,0.8310306696829821
1WTQ_A,I001,1.0
1WTR_A,I001,1.0
1WTW_A,I001,1.0
1WVL_A,I001,1.0
1XBR_A,I001,1.0
1XJV_A,I001,0.8546433731786229
1XNS_A,I001,1.0
1XO0_A,I001,1.0
1XS9_A,I001,0.8458658370811563
1XSD_A,I001,1.0
1XSL_A,I001,1.0
1XYI_A,I001,0.8820855093814682
1Y6F_A,I001,0.9144960354693817
1YF3_A,I001,0.586349676138059
1YFH_A,I001,0.980300948436539
1YFJ_A,I001,1.0
1YO5_C,I001,1.0
1YQK_A,I001,1.0
1YQR_A,I001,1.0
1YSA_C,I001,0.9254307019918643
1YTB_A,I001,1.0
1YUI_A,I001,0.7756160475635692
1Z9C_C,I001,1.0
1ZAA_C,I001,1.0
1ZBI_B,I001,0.9008581139258601
1ZBL_A,I001,0.9008581139258601
1ZME_C,I001,0.8071688848014862
1ZQ3_P,I001,1.0
1ZR4_A,I001,0.9592869823306734
1ZRF_A,I001,1.0
1ZS4_A,I001,0.7530466534712121
1ZTG_B,I001,0.6531892654440066
1ZTW_A,I001,0.8553172618873771
1ZVV_A,I001,1.0
1ZYQ_A,I001,1.0
1ZZI_A,I001,0.8037389642809755
21VV_K,I_NOISE,0.0
22EU_A,I001,0.7036365967229818
22EU_B,I001,0.745077873247454
24BP_A,I001,0.48610361106319044
24BQ_A,I001,0.5455410379464595
24QP_Q,I001,0.38453506239088653
25EC_B,I001,1.0
25QC_A,I001,0.8515675854141445
28KE_B,I001,0.9023338774516539
28OP_N,I001,0.7437982393884761
2A3V_B,I001,1.0
2A6O_A,I001,0.8827913842885032
2ACJ_C,I001,1.0
2AJQ_A,I001,1.0
2AOR_B,I001,1.0
2AS5_M,I001,1.0
2ASD_A,I001,1.0
2AYG_A,I001,1.0
2B9S_A,I001,1.0
2BAM_B,I001,1.0
2BDP_A,I001,1.0
2BGW_A,I001,0.9030976298522286
2BJC_A,I001,0.3977555541547595
2BNW_B,I001,0.9074328931300509
2BOP_A,I001,0.9007265927654952
2BPA_1,I001,0.34700112974444874
2BPA_3,I001,0.2716645380606488
2BSQ_A,I001,0.3680666776098816
2BZF_A,I001,1.0
2C5R_B,I_NOISE,0.0
2C62_A,I001,0.7713566111946122
2C7A_A,I001,1.0
2C7P_A,I001,1.0
2C7R_A,I001,1.0
2C9L_Y,I001,0.9254307019918643
2C9N_Y,I001,0.9254307019918643
2CCZ_A,I001,0.8057790579472343
2D7D_A,I001,0.8538625380709365
2DNJ_A,I001,0.6243628827929318
2DP6_A,I001,1.0
2DPD_B,I001,0.8500453368427001
2DRP_D,I001,0.8458658370811563
2DTU_A,I001,0.9566699651184721
2DWM_A,I001,0.4783382699275031
2E52_A,I001,1.0
2EA0_A,I001,1.0
2ER8_A,I001,0.9362854528956587
2ERG_A,I001,0.9649849774752329
2ES2_A,I001,0.5098080907357809
2EX5_A,I001,1.0
2EXF_A,I001,0.4373192354156854
2EZV_B,I001,1.0
2F55_A,I001,0.8189556497257275
2F5P_A,I001,1.0
2F5Q_A,I001,1.0
2F8N_G,I001,1.0
2F8X_C,I001,1.0
2FCC_A,I001,1.0
2FF0_A,I001,0.7554540499456494
2FIO_A,I001,0.6634416237403038
2FKC_A,I001,1.0
2FLD_B,I001,1.0
2FO1_A,I001,0.8758969195108472
2FR4_A,I001,0.5846263972741336
2FR4_B,I001,0.45673693532528664
2G8K_A,I001,0.9008581139258601
2GAT_A,I001,0.7416149429521827
2GB7_B,I001,1.0
2GE5_A,I001,1.0
2GEQ_B,I001,1.0
2GIE_A,I001,1.0
2GIH_A,I001,1.0
2GKD_A,I001,0.7919618542458557
2GLI_A,I001,0.814184343887606
2GLO_A,I001,0.8429713935113954
2GM4_A,I001,0.8949670591781648
2GXA_E,I001,0.23684538999008795
2GZK_A,I001,0.6932777332685999
2H1K_B,I001,1.0
2H1O_A,I_NOISE,0.0
2H1O_E,I001,0.9423172311968829
2H27_A,I001,0.9155634385148552
2H3A_A,I001,0.8972489015922303
2H7H_A,I001,0.9254307019918643
2H8C_B,I001,0.943332688806683
2HAP_C,I001,0.8589589084855195
2HAX_A,I001,0.4056373588345489
2HDC_A,I001,0.6935124159411395
2HDD_B,I001,0.9063308780764693
2HHV_A,I001,1.0
2HMI_A,I001,0.7807959104332767
2HMI_B,I002,0.7956947891428893
2HOI_A,I001,1.0
2HOS_B,I001,0.8234430180468143
2HVR_A,I001,0.36278057243500506
2I06_A,I001,1.0
2I0Q_A,I001,0.953567577905482
2I3P_A,I001,1.0
2I3Q_A,I001,1.0
2I5W_A,I001,1.0
2I9K_A,I001,1.0
2I9T_A,I001,1.0
2IEF_A,I001,1.0
2IHM_B,I001,1.0
2IHN_A,I001,1.0
2IIE_A,I001,0.5827018423676372
2IIF_A,I001,0.7890305623795207
2IMW_P,I001,1.0
2IRF_G,I001,0.9877861135474916
2IS6_A,I001,1.0
2IT0_A,I001,1.0
2ITL_A,I001,0.5382302057339698
2IVH_A,I001,0.9862382140239386
2J6U_A,I001,1.0
2JLG_A,I001,0.8755149645350291
2JP9_A,I001,0.7710584808397387
2JX1_A,I001,0.22690425539460607
2JXI_A,I001,0.8712432412455049
2K1N_A,I001,0.5380688105339482
2K7F_A,I001,1.0
2KDZ_A,I001,1.0
2KFN_A,I001,0.6250303647842065
2KKF_A,I001,0.8421964425360216
2KMK_A,I001,0.9223754377371272
2KN7_A,I001,0.6119659907819346
2KO0_A,I001,1.0
2KTQ_A,I001,1.0
2KY8_A,I001,0.8072100454170644
2L4L_A,I001,0.5008628625056668
2LD5_A,I001,0.7923901232819155
2LEF_A,I001,0.4986956311372084
2LEV_A,I001,0.9477707762319612
2LKX_A,I001,0.8535043240844953
2LT7_A,I001,0.6381248240273246
2LTT_A,I001,0.537531821753149
2M2W_A,I001,0.6488642142769524
2MAP_A,I001,0.8021379790398594
2ME6_A,I001,0.5942435476416378
2MNA_A,I001,0.5404741766270401
2MOE_A,I001,0.7506301582378648
2N8A_A,I001,0.7675310751342233
2NBJ_A,I001,0.8165004677036164
2NLL_A,I001,0.9106384272395672
2NLL_B,I001,1.0
2NOB_A,I001,1.0
2NOE_A,I001,1.0
2NOF_A,I001,1.0
2NOH_A,I001,1.0
2NOI_A,I001,1.0
2NOL_A,I001,1.0
2NOZ_A,I001,1.0
2NP2_A,I001,0.8553574802507895
2NP6_A,I001,1.0
2NQ9_A,I001,0.893781807262092
2NQJ_A,I001,1.0
2NRA_C,I001,0.537480563759677
2NTC_A,I001,1.0
2O4A_A,I001,1.0
2O5C_A,I001,1.0
2O5I_C,I001,0.7706856405365504
2O61_A,I001,0.675268397398774
2O61_B,I001,1.0
2O6M_A,I001,1.0
2O8E_B,I001,1.0
2O8K_A,I001,0.6783711817828847
2O93_L,I001,1.0
2OAA_B,I001,0.875804063973393
2OEH_A,I001,1.0
2OG0_B,I001,1.0
2OK0_H,I001,0.4767817505996552
2OK0_L,I001,0.7543050349057748
2OPF_A,I001,1.0
2OST_A,I001,1.0
2OXV_A,I001,1.0
2P0J_A,I001,1.0
2P5L_D,I001,0.8495053641319864
2P6R_A,I001,1.0
2P7C_B,I001,0.6517875220409859
2PE5_B,I001,1.0
2PI0_B,I001,1.0
2PI4_A,I001,1.0
2PJR_B,I001,0.7126339263081021
2PJR_F,I001,0.8879433913324376
2PUA_A,I001,1.0
2PUE_A,I001,1.0
2PVI_A,I001,1.0
2PYJ_B,I001,1.0
2PYO_G,I001,1.0
2Q10_A,I001,0.8742378851767634
2Q2T_A,I001,1.0
2QBY_A,I001,0.8480981391870106
2QBY_B,I001,0.9146174107408656
2QHB_A,I001,0.6819237483922854
2QKK_A,I001,0.6933712434055634
2QL2_B,I001,0.9316758008673084
2QL2_C,I001,0.7033605995556976
2QNC_A,I001,0.6465288906074995
2QNF_A,I001,0.6736946098825392
2QSG_A,I001,1.0
2QSH_A,I001,1.0
2R0Q_C,I001,0.7798666335274866
2R1J_L,I001,0.9039770397729434
2R8K_A,I001,0.7871079300712214
2RAM_A,I001,1.0
2RGR_A,I001,0.9772570648700587
2SSP_E,I001,1.0
2STT_A,I001,0.819470346947952
2UVU_A,I001,1.0
2UVV_A,I001,1.0
2UYC_A,I001,1.0
2UYH_A,I001,1.0
2UZ4_A,I001,1.0
2UZK_A,I001,1.0
2V1U_A,I001,0.8079547200055167
2V2T_A,I001,1.0
2V2T_B,I001,1.0
2V6E_A,I001,1.0
2VBJ_A,I001,1.0
2VBJ_B,I001,1.0
2VBL_A,I001,0.9398786838463266
2VBL_B,I001,0.9398786838463266
2VBO_A,I001,1.0
2VBO_B,I001,1.0
2VIC_A,I001,0.9947002603859331
2VLA_A,I001,1.0
2VS8_F,I001,0.9398786838463266
2VTB_A,I001,0.9154303408251474
2VTB_B,I001,0.9150674021100998
2VWJ_A,I001,0.8570544819794124
2VYE_A,I_NOISE,0.0
2VZ4_A,I001,1.0
2W36_A,I001,0.866285461458352
2W7N_B,I001,0.599567714367363
2W9B_A,I001,1.0
2WBS_A,I001,0.5814766885844069
2WBU_A,I001,0.9148948794577388
2WCC_3,I001,0.7358285973454632
2WIW_B,I001,0.7676548595950256
2WT7_A,I001,0.9254307019918643
2WT7_B,I001,1.0
2WTY_B,I001,1.0
2XCR_D,I001,0.9721624553289762
2XE0_A,I001,1.0
2XE0_B,I001,1.0
2XGP_B,I001,0.8181764517673414
2XHB_A,I001,0.8048710608887533
2XMA_E,I001,0.7186705254168713
2XO6_A,I001,0.5103991788709462
2XO7_A,I001,1.0
2XQC_D,I001,0.47758116374030596
2XRO_B,I001,1.0
2XY5_A,I001,1.0
2XY6_A,I001,1.0
2XY7_A,I001,1.0
2Y1J_A,I001,1.0
2Y35_A,I001,0.7327443762185725
2Y7H_A,I_NOISE,0.0
2Y7H_B,I_NOISE,0.0
2Y9Z_B,I001,0.386473244865307
2YPB_B,I001,0.9316758008673084
2Z33_A,I001,1.0
2Z6A_A,I001,1.0
2Z6Q_A,I001,0.9089324917130179
2Z6U_A,I001,1.0
2Z70_A,I001,0.8899462618901556
2ZCJ_A,I001,1.0
2ZKD_A,I001,1.0
30FH_6,I_NOISE,0.0
30GB_I,I_NOISE,0.0
30GB_K,I_NOISE,0.0
36HT_A,I001,0.8246014880594406
36HT_I,I_NOISE,0.0
36HT_L,I001,0.7594208833377755
36NB_A,I001,1.0
36OF_A,I001,0.97429632505149
36PP_D,I001,0.3059553661373061
36XS_A,I001,0.9261215362418942
3A01_F,I001,1.0
3A46_A,I001,1.0
3A4K_D,I001,0.8363364214926047
3A5U_A,I001,0.7652395053339667
3AUO_A,I001,0.8309997881087965
3B39_A,I001,0.6253950024539834
3BBB_B,I001,0.7443329627794945
3BDN_A,I001,0.7616554107110012
3BEP_A,I001,0.5473602464127666
3BI3_A,I001,1.0
3BIE_A,I001,1.0
3BKZ_A,I001,1.0
3BQ1_A,I001,0.8548309219606884
3BRG_C,I001,1.0
3BS1_A,I001,1.0
3BSU_G,I001,0.5391889517264031
3BTX_A,I001,1.0
3BTY_A,I001,0.9215026327425865
3BTZ_A,I001,1.0
3BU0_A,I001,1.0
3C25_A,I001,1.0
3C29_A,I001,1.0
3C5F_A,I001,1.0
3C5G_B,I001,1.0
3CBB_B,I001,1.0
3CFR_A,I001,1.0
3CLZ_B,I001,1.0
3CMU_A,I_NOISE,0.0
3CMW_A,I001,0.6125679804611337
3CMY_A,I001,1.0
3CO6_C,I001,0.7854437076925297
3COQ_A,I001,1.0
3CQ8_A,I001,1.0
3CRO_L,I001,0.824490063432737
3CRX_A,I001,0.39882484494529663
3CVV_A,I001,1.0
3CVW_A,I001,1.0
3CVX_A,I001,1.0
3CW7_A,I001,0.8732616170999999
3D6Z_A,I001,1.0
3D70_A,I001,1.0
3D71_A,I001,1.0
3DFX_A,I001,0.9130199781176339
3DO7_A,I001,1.0
3DO7_B,I001,1.0
3DPG_A,I001,1.0
3DSC_A,I001,0.5700610692261477
3DSD_A,I001,0.8191761393098473
3E0D_A,I_NOISE,0.0
3E3J_B,I_NOISE,0.0
3E54_A,I001,0.7963887511377302
3E6C_C,I001,0.8683237712198131
3ECP_A,I001,0.9169252744254563
3EH8_A,I001,1.0
3EI2_B,I001,1.0
3EXJ_A,I001,1.0
3EY1_A,I001,1.0
3EYI_B,I001,0.9153321604450017
3EYZ_A,I001,1.0
3EZ5_A,I001,1.0
3F2B_A,I001,1.0
3F8J_B,I001,1.0
3FBD_A,I001,0.8534043641372663
3FD2_A,I001,1.0
3FDE_A,I001,1.0
3FHZ_D,I001,1.0
3FMT_A,I001,1.0
3G00_A,I001,1.0
3G0Q_A,I001,1.0
3G2C_A,I001,0.5797768257386172
3G9I_B,I001,0.9240121873849142
3GFI_A,I001,0.6586017572595626
3GLF_G,I001,0.9139711964707671
3GLG_G,I001,0.9187469694114418
3GO8_A,I001,1.0
3GOX_A,I001,1.0
3GP1_A,I001,1.0
3GP8_A,I001,1.0
3GPU_A,I001,1.0
3GPX_A,I001,1.0
3GQ4_A,I001,1.0
3GQ5_A,I001,1.0
3GX4_X,I001,0.8655791278570871
3GXQ_B,I001,0.9658493941176549
3GZ6_A,I001,0.9564961805145228
3H40_A,I001,0.7426080826079023
3H4D_A,I001,0.8624013606334724
3H8O_A,I001,1.0
3HDD_B,I001,0.8946793237474328
3HJF_A,I001,0.9777891206670375
3HK2_B,I001,0.9777891206670375
3HOT_A,I001,0.43212535382175693
3HQF_A,I001,1.0
3HQG_A,I001,0.7626507225740764
3HT3_A,I001,1.0
3HW8_A,I001,1.0
3HX0_A,I001,1.0
3HXQ_A,I001,0.9221498872866926
3I0W_A,I001,1.0
3I0X_A,I001,1.0
3I3M_A,I001,0.9496208979955951
3I8D_A,I001,1.0
3IAG_C,I001,1.0
3IAY_A,I001,1.0
3IGC_A,I001,0.881210627155247
3IGK_A,I001,1.0
3IH7_A,I001,1.0
3IKT_B,I001,1.0
3IYD_A,I_NOISE,0.0
3IYD_D,I_NOISE,0.0
3J9X_1,I001,0.8184733191613482
3JCA_A,I_NOISE,0.0
3JCA_C,I_NOISE,0.0
3JR5_A,I001,1.0
3JSM_A,I001,1.0
3JSP_A,I001,1.0
3JTG_A,I001,1.0
3JX7_A,I001,1.0
3JXB_C,I001,0.891038045444667
3JXZ_A,I001,0.891501045218285
3JY1_A,I001,0.8993622574814127
3K0S_A,I001,1.0
3K4X_A,I001,0.7880528097497963
3K57_A,I001,1.0
3KD1_E,I001,1.0
3KDE_C,I001,0.9382818585560841
3KET_A,I001,1.0
3KHC_B,I001,0.9502686259551918
3KJP_A,I001,0.8633103023406242
3KK2_B,I_NOISE,0.0
3KLE_A,I001,1.0
3KLE_B,I_NOISE,0.0
3KLF_A,I001,1.0
3KLH_A,I001,1.0
3KMP_A,I001,1.0
3KNT_A,I001,0.47143226499809976
3KO2_A,I001,1.0
3KQH_A,I001,0.9524638981429167
3KQN_A,I001,0.8543051236347308
3KTU_A,I001,1.0
3KWQ_A,I001,1.0
3KXT_A,I001,0.6794328236847258
3L1P_A,I001,0.913729948154382
3L2P_A,I001,1.0
3LDS_A,I001,1.0
3LNQ_A,I001,1.0
3LWH_A,I001,0.7236331439195078
3M7K_A,I001,0.7520349058583432
3M9E_E,I001,1.0
3MDA_A,I001,1.0
3MIP_A,I001,1.0
3MIS_A,I001,1.0
3MKZ_A,I001,0.9784406681359897
3MLN_B,I001,0.8992071176661535
3MU6_A,I001,0.9609253554050273
3MVA_O,I001,1.0
3MVB_O,I001,1.0
3MVD_L,I001,0.9926688005004894
3MX4_A,I001,1.0
3MXI_A,I001,0.9877861135474916
