left,right,reasons
2WT7_A,2WT7_B,"[""same_pdb_deposition""]"
2XE0_A,2XE0_B,"[""same_pdb_deposition""]"
2Y7H_A,2Y7H_B,"[""same_pdb_deposition""]"
30GB_I,30GB_K,"[""same_pdb_deposition""]"
36HT_A,36HT_I,"[""same_pdb_deposition""]"
36HT_A,36HT_L,"[""same_pdb_deposition""]"
3DO7_A,3DO7_B,"[""same_pdb_deposition""]"
3IYD_A,3IYD_D,"[""same_pdb_deposition""]"
3JCA_A,3JCA_C,"[""same_pdb_deposition""]"
3KLE_A,3KLE_B,"[""same_pdb_deposition""]"
3QRF_F,3QRF_M,"[""same_pdb_deposition""]"
3UR1_B,3UR1_C,"[""same_pdb_deposition""]"
3VW3_H,3VW3_L,"[""same_pdb_deposition""]"
3WU1_A,3WU1_B,"[""same_pdb_deposition""]"
3X1L_B,3X1L_D,"[""same_pdb_deposition""]"
3X1L_B,3X1L_G,"[""same_pdb_deposition""]"
4B3O_A,4B3O_B,"[""same_pdb_deposition""]"
4B3Q_A,4B3Q_B,"[""same_pdb_deposition""]"
4F1H_A,4F1H_B,"[""same_pdb_deposition""]"
4G92_A,4G92_B,"[""same_pdb_deposition""]"
4NE1_I,4NE1_L,"[""same_pdb_deposition""]"
4QYZ_B,4QYZ_F,"[""same_pdb_deposition""]"
4R8U_A,4R8U_B,"[""same_pdb_deposition""]"
4S0H_B,4S0H_E,"[""same_pdb_deposition""]"
4UMM_A,4UMM_E,"[""same_pdb_deposition""]"
4V8P_AH,4V8P_AQ,"[""same_pdb_deposition""]"
4V8S_AR,4V8S_AW,"[""same_pdb_deposition""]"
4V8S_AR,4V8S_AY,"[""same_pdb_deposition""]"
4V9F_L,4V9F_Z,"[""same_pdb_deposition""]"
4X23_C,4X23_D,"[""same_pdb_deposition""]"
4X23_C,4X23_E,"[""same_pdb_deposition""]"
4XLN_D,4XLN_F,"[""same_pdb_deposition""]"
4XRS_B,4XRS_G,"[""same_pdb_deposition""]"
4XZQ_B,4XZQ_D,"[""same_pdb_deposition""]"
4Z66_C,4Z66_D,"[""same_pdb_deposition""]"
4Z8F_H,4Z8F_L,"[""same_pdb_deposition""]"
5A0M_A,5A0M_B,"[""same_pdb_deposition""]"
5CDP_A,5CDP_B,"[""same_pdb_deposition""]"
5CLV_B,5CLV_E,"[""same_pdb_deposition""]"
5DLJ_B,5DLJ_E,"[""same_pdb_deposition""]"
5DQZ_B,5DQZ_E,"[""same_pdb_deposition""]"
5DS5_B,5DS5_E,"[""same_pdb_deposition""]"
5FMF_1,5FMF_M,"[""same_pdb_deposition""]"
5FMF_1,5FMF_U,"[""same_pdb_deposition""]"
5FMF_1,5FMF_V,"[""same_pdb_deposition""]"
5FMF_1,5FMF_X,"[""same_pdb_deposition""]"
5GKR_A,5GKR_B,"[""same_pdb_deposition""]"
5H9F_A,5H9F_B,"[""same_pdb_deposition""]"
5H9F_A,5H9F_J,"[""same_pdb_deposition""]"
5IWI_A,5IWI_B,"[""same_pdb_deposition""]"
5IYB_B,5IYB_C,"[""same_pdb_deposition""]"
5IYB_B,5IYB_M,"[""same_pdb_deposition""]"
5J0N_F,5J0N_I,"[""same_pdb_deposition""]"
5M1S_A,5M1S_D,"[""same_pdb_deposition""]"
5MC6_i,5MC6_j,"[""same_pdb_deposition""]"
5MLU_A,5MLU_D,"[""same_pdb_deposition""]"
5MLU_A,5MLU_G,"[""same_pdb_deposition""]"
5MLU_A,5MLU_H,"[""same_pdb_deposition""]"
5MS0_D,5MS0_F,"[""same_pdb_deposition""]"
5NO6_A,5NO6_N,"[""same_pdb_deposition""]"
5O6U_D,5O6U_F,"[""same_pdb_deposition""]"
5OLA_A,5OLA_E,"[""same_pdb_deposition""]"
5VI5_C,5VI5_D,"[""same_pdb_deposition""]"
5VPE_A,5VPE_B,"[""same_pdb_deposition""]"
5W7G_A,5W7G_B,"[""same_pdb_deposition""]"
5WCU_C,5WCU_D,"[""same_pdb_deposition""]"
5WCU_C,5WCU_U,"[""same_pdb_deposition""]"
5Y3R_A,5Y3R_B,"[""same_pdb_deposition""]"
6B44_A,6B44_B,"[""same_pdb_deposition""]"
6B44_A,6B44_F,"[""same_pdb_deposition""]"
6B6H_G,6B6H_I,"[""same_pdb_deposition""]"
6C66_A,6C66_M,"[""same_pdb_deposition""]"
6C66_A,6C66_O,"[""same_pdb_deposition""]"
6D5F_A,6D5F_a,"[""same_pdb_deposition""]"
6DT7_A,6DT7_B,"[""same_pdb_deposition""]"
6DVC_C,6DVC_F,"[""same_pdb_deposition""]"
6EDT_C,6EDT_D,"[""same_pdb_deposition""]"
6F2S_A,6F2S_H,"[""same_pdb_deposition""]"
6F2S_A,6F2S_I,"[""same_pdb_deposition""]"
6FB0_A,6FB0_B,"[""same_pdb_deposition""]"
6FQ5_B,6FQ5_C,"[""same_pdb_deposition""]"
6FQ5_B,6FQ5_D,"[""same_pdb_deposition""]"
6FTX_E,6FTX_W,"[""same_pdb_deposition""]"
6GOV_G,6GOV_N,"[""same_pdb_deposition""]"
6GOV_G,6GOV_Y,"[""same_pdb_deposition""]"
6GRH_1,6GRH_C,"[""same_pdb_deposition""]"
6I52_B,6I52_C,"[""same_pdb_deposition""]"
6IPU_A,6IPU_C,"[""same_pdb_deposition""]"
6IPU_A,6IPU_D,"[""same_pdb_deposition""]"
6IPU_A,6IPU_F,"[""same_pdb_deposition""]"
6IY2_A,6IY2_C,"[""same_pdb_deposition""]"
6IY2_A,6IY2_D,"[""same_pdb_deposition""]"
6JXD_C,6JXD_D,"[""same_pdb_deposition""]"
6JXD_C,6JXD_E,"[""same_pdb_deposition""]"
6JXD_C,6JXD_G,"[""same_pdb_deposition""]"
6KE9_E,6KE9_G,"[""same_pdb_deposition""]"
6KF9_B,6KF9_C,"[""same_pdb_deposition""]"
6MUP_A,6MUP_D,"[""same_pdb_deposition""]"
6MUP_A,6MUP_G,"[""same_pdb_deposition""]"
6MUP_A,6MUP_M,"[""same_pdb_deposition""]"
6N4C_A,6N4C_B,"[""same_pdb_deposition""]"
6N4C_A,6N4C_C,"[""same_pdb_deposition""]"
6N4C_A,6N4C_D,"[""same_pdb_deposition""]"
6N4C_A,6N4C_F,"[""same_pdb_deposition""]"
6O9L_Q,6O9L_T,"[""same_pdb_deposition""]"
6OJ0_A,6OJ0_Z,"[""same_pdb_deposition""]"
6P4F_B,6P4F_C,"[""same_pdb_deposition""]"
6PIJ_A,6PIJ_G,"[""same_pdb_deposition""]"
6QLD_a,6QLD_b,"[""same_pdb_deposition""]"
6QLD_a,6QLD_d,"[""same_pdb_deposition""]"
6QLD_a,6QLD_e,"[""same_pdb_deposition""]"
6QLD_a,6QLD_g,"[""same_pdb_deposition""]"
6QLD_a,6QLD_h,"[""same_pdb_deposition""]"
6QLD_a,6QLD_i,"[""same_pdb_deposition""]"
6QX2_J,6QX2_K,"[""same_pdb_deposition""]"
6QX2_J,6QX2_d,"[""same_pdb_deposition""]"
6QX2_J,6QX2_k,"[""same_pdb_deposition""]"
6QX2_J,6QX2_r,"[""same_pdb_deposition""]"
6QX2_J,6QX2_s,"[""same_pdb_deposition""]"
6QX2_J,6QX2_u,"[""same_pdb_deposition""]"
6R1T_D,6R1T_G,"[""same_pdb_deposition""]"
6R2Q_B,6R2Q_C,"[""same_pdb_deposition""]"
6R2V_B,6R2V_C,"[""same_pdb_deposition""]"
6RKW_A,6RKW_B,"[""same_pdb_deposition""]"
6T8H_B,6T8H_C,"[""same_pdb_deposition""]"
6TQN_G,6TQN_Y,"[""same_pdb_deposition""]"
6U0M_2,6U0M_4,"[""same_pdb_deposition""]"
6U0M_2,6U0M_7,"[""same_pdb_deposition""]"
6UH5_L,6UH5_N,"[""same_pdb_deposition""]"
6WB9_2,6WB9_5,"[""same_pdb_deposition""]"
6WC5_B,6WC5_I,"[""same_pdb_deposition""]"
6WQ2_A,6WQ2_a,"[""same_pdb_deposition""]"
6Y5E_A,6Y5E_C,"[""same_pdb_deposition""]"
6Y5E_A,6Y5E_G,"[""same_pdb_deposition""]"
6Y5E_A,6Y5E_K,"[""same_pdb_deposition""]"
6YRA_A,6YRA_B,"[""same_pdb_deposition""]"
6Z6P_K,6Z6P_M,"[""same_pdb_deposition""]"
6ZZ6_A,6ZZ6_B,"[""same_pdb_deposition""]"
7AH9_1A,7AH9_1F,"[""same_pdb_deposition""]"
7AH9_1A,7AH9_1I,"[""same_pdb_deposition""]"
7AH9_1A,7AH9_1L,"[""same_pdb_deposition""]"
7AMV_K,7AMV_W,"[""same_pdb_deposition""]"
7AOH_E,7AOH_I,"[""same_pdb_deposition""]"
7AOH_E,7AOH_Y,"[""same_pdb_deposition""]"
7APD_C,7APD_G,"[""same_pdb_deposition""]"
7BTQ_A,7BTQ_E,"[""same_pdb_deposition""]"
7C4P_A,7C4P_B,"[""same_pdb_deposition""]"
7CCQ_C,7CCQ_K,"[""same_pdb_deposition""]"
7D58_A,7D58_E,"[""same_pdb_deposition""]"
7EA5_A,7EA5_C,"[""same_pdb_deposition""]"
7EA5_A,7EA5_K,"[""same_pdb_deposition""]"
7EA8_A,7EA8_C,"[""same_pdb_deposition""]"
7EA8_A,7EA8_L,"[""same_pdb_deposition""]"
7ELN_A,7ELN_B,"[""same_pdb_deposition""]"
7F0R_C,7F0R_D,"[""same_pdb_deposition""]"
7F75_C,7F75_G,"[""same_pdb_deposition""]"
7JW1_B,7JW1_E,"[""same_pdb_deposition""]"
7K6Q_A,7K6Q_D,"[""same_pdb_deposition""]"
7K6Q_A,7K6Q_K,"[""same_pdb_deposition""]"
7LV8_A,7LV8_B,"[""same_pdb_deposition""]"
7MI4_A,7MI4_E,"[""same_pdb_deposition""]"
7OB9_B,7OB9_M,"[""same_pdb_deposition""]"
7QG9_A,7QG9_G,"[""same_pdb_deposition""]"
7QG9_A,7QG9_L,"[""same_pdb_deposition""]"
7QG9_A,7QG9_V,"[""same_pdb_deposition""]"
7QOF_B,7QOF_a,"[""same_pdb_deposition""]"
7QOJ_D,7QOJ_E,"[""same_pdb_deposition""]"
7QOJ_D,7QOJ_I,"[""same_pdb_deposition""]"
7R2K_L,7R2K_S,"[""same_pdb_deposition""]"
7R2K_L,7R2K_Y,"[""same_pdb_deposition""]"
7R5S_L,7R5S_N,"[""same_pdb_deposition""]"
7R5S_L,7R5S_W,"[""same_pdb_deposition""]"
7RPX_B,7RPX_E,"[""same_pdb_deposition""]"
7S01_A,7S01_C,"[""same_pdb_deposition""]"
7S01_A,7S01_D,"[""same_pdb_deposition""]"
7S01_A,7S01_c,"[""same_pdb_deposition""]"
7S01_A,7S01_d,"[""same_pdb_deposition""]"
7SBA_A,7SBA_H,"[""same_pdb_deposition""]"
7SBA_A,7SBA_I,"[""same_pdb_deposition""]"
7SQK_C,7SQK_E,"[""same_pdb_deposition""]"
7TQB_H,7TQB_L,"[""same_pdb_deposition""]"
7TRA_A,7TRA_D,"[""same_pdb_deposition""]"
7TRA_A,7TRA_Q,"[""same_pdb_deposition""]"
7TXJ_A,7TXJ_a,"[""same_pdb_deposition""]"
7U5D_B,7U5D_I,"[""same_pdb_deposition""]"
7UGW_B,7UGW_C,"[""same_pdb_deposition""]"
7V5N_E,7V5N_F,"[""same_pdb_deposition""]"
7VS4_A,7VS4_B,"[""same_pdb_deposition""]"
7VS4_A,7VS4_C,"[""same_pdb_deposition""]"
7WLR_A,7WLR_B,"[""same_pdb_deposition""]"
7WLR_A,7WLR_D,"[""same_pdb_deposition""]"
7WLR_A,7WLR_G,"[""same_pdb_deposition""]"
7WWV_B,7WWV_C,"[""same_pdb_deposition""]"
7X5E_B,7X5E_E,"[""same_pdb_deposition""]"
7XCR_C,7XCR_L,"[""same_pdb_deposition""]"
7XCT_D,7XCT_F,"[""same_pdb_deposition""]"
7XG0_A,7XG0_D,"[""same_pdb_deposition""]"
7XJG_A,7XJG_J,"[""same_pdb_deposition""]"
7XLT_H,7XLT_L,"[""same_pdb_deposition""]"
7XQ5_A,7XQ5_B,"[""same_pdb_deposition""]"
7YRD_E,7YRD_G,"[""same_pdb_deposition""]"
7YRD_E,7YRD_K,"[""same_pdb_deposition""]"
7Z0S_C,7Z0S_D,"[""same_pdb_deposition""]"
7Z0S_C,7Z0S_G,"[""same_pdb_deposition""]"
7Z1O_A,7Z1O_E,"[""same_pdb_deposition""]"
8A0X_A,8A0X_D,"[""same_pdb_deposition""]"
8A3T_O,8A3T_Q,"[""same_pdb_deposition""]"
8AGE_C,8AGE_E,"[""same_pdb_deposition""]"
8ASC_F,8ASC_K,"[""same_pdb_deposition""]"
8BIP_A,8BIP_B,"[""same_pdb_deposition""]"
8BPX_N,8BPX_n,"[""same_pdb_deposition""]"
8BZM_B,8BZM_E,"[""same_pdb_deposition""]"
8D0B_A,8D0B_B,"[""same_pdb_deposition""]"
8D0K_B,8D0K_D,"[""same_pdb_deposition""]"
8D3M_A,8D3M_E,"[""same_pdb_deposition""]"
8D3M_A,8D3M_I,"[""same_pdb_deposition""]"
8D3P_B,8D3P_E,"[""same_pdb_deposition""]"
8DEJ_C,8DEJ_J,"[""same_pdb_deposition""]"
8DR0_C,8DR0_D,"[""same_pdb_deposition""]"
8DY9_B,8DY9_C,"[""same_pdb_deposition""]"
8DY9_B,8DY9_D,"[""same_pdb_deposition""]"
8DY9_B,8DY9_I,"[""same_pdb_deposition""]"
8EBT_A,8EBT_B,"[""same_pdb_deposition""]"
8EBT_A,8EBT_H,"[""same_pdb_deposition""]"
8EBT_A,8EBT_K,"[""same_pdb_deposition""]"
8EKI_C,8EKI_D,"[""same_pdb_deposition""]"
8FCJ_A,8FCJ_H,"[""same_pdb_deposition""]"
8FCJ_A,8FCJ_I,"[""same_pdb_deposition""]"
8FGW_A,8FGW_C,"[""same_pdb_deposition""]"
8FLJ_B,8FLJ_F,"[""same_pdb_deposition""]"
8FLJ_B,8FLJ_G,"[""same_pdb_deposition""]"
8FW5_H,8FW5_I,"[""same_pdb_deposition""]"
8FYC_A,8FYC_C,"[""same_pdb_deposition""]"
8FYC_A,8FYC_K,"[""same_pdb_deposition""]"
8G9U_A,8G9U_G,"[""same_pdb_deposition""]"
8G9U_A,8G9U_H,"[""same_pdb_deposition""]"
8G9U_A,8G9U_N,"[""same_pdb_deposition""]"
8G9U_A,8G9U_P,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_DC,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_DO,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_Em,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_Ey,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_FO,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_HX,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_Hx,"[""same_pdb_deposition""]"
8GLV_5H,8GLV_IT,"[""same_pdb_deposition""]"
8GRM_A,8GRM_C,"[""same_pdb_deposition""]"
8GRM_A,8GRM_D,"[""same_pdb_deposition""]"
8GRM_A,8GRM_F,"[""same_pdb_deposition""]"
8GRM_A,8GRM_P,"[""same_pdb_deposition""]"
8GZH_C,8GZH_D,"[""same_pdb_deposition""]"
8GZH_C,8GZH_Z,"[""same_pdb_deposition""]"
8H40_A,8H40_B,"[""same_pdb_deposition""]"
8H40_A,8H40_E,"[""same_pdb_deposition""]"
8HR1_A,8HR1_B,"[""same_pdb_deposition""]"
8HR1_A,8HR1_C,"[""same_pdb_deposition""]"
8HR1_A,8HR1_D,"[""same_pdb_deposition""]"
8HVR_D,8HVR_H,"[""same_pdb_deposition""]"
8I23_C,8I23_D,"[""same_pdb_deposition""]"
8IYJ_3,8IYJ_A,"[""same_pdb_deposition""]"
8IYJ_3,8IYJ_T3,"[""same_pdb_deposition""]"
8J07_2R,8J07_T,"[""same_pdb_deposition""]"
8J8G_A,8J8G_B,"[""same_pdb_deposition""]"
8JHG_F,8JHG_G,"[""same_pdb_deposition""]"
8K22_A,8K22_B,"[""same_pdb_deposition""]"
8K22_A,8K22_C,"[""same_pdb_deposition""]"
8K22_A,8K22_D,"[""same_pdb_deposition""]"
8K22_A,8K22_G,"[""same_pdb_deposition""]"
8K24_B,8K24_D,"[""same_pdb_deposition""]"
8K25_A,8K25_e,"[""same_pdb_deposition""]"
8K58_C,8K58_D,"[""same_pdb_deposition""]"
8OKI_A,8OKI_B,"[""same_pdb_deposition""]"
8OL1_A,8OL1_C,"[""same_pdb_deposition""]"
8OL1_A,8OL1_D,"[""same_pdb_deposition""]"
8OL1_A,8OL1_G,"[""same_pdb_deposition""]"
8OL1_A,8OL1_K,"[""same_pdb_deposition""]"
8OM1_d,8OM1_e,"[""same_pdb_deposition""]"
8OSB_A,8OSB_B,"[""same_pdb_deposition""]"
8OSB_A,8OSB_E,"[""same_pdb_deposition""]"
8OTT_C,8OTT_D,"[""same_pdb_deposition""]"
8OTT_C,8OTT_E,"[""same_pdb_deposition""]"
8OTT_C,8OTT_M,"[""same_pdb_deposition""]"
8OTT_C,8OTT_N,"[""same_pdb_deposition""]"
8OVW_L,8OVW_Z,"[""same_pdb_deposition""]"
8OW1_HH,8OW1_II,"[""same_pdb_deposition""]"
8OW1_HH,8OW1_KK,"[""same_pdb_deposition""]"
8P0J_B,8P0J_H,"[""same_pdb_deposition""]"
8P0J_B,8P0J_I,"[""same_pdb_deposition""]"
8Q1B_H,8Q1B_J,"[""same_pdb_deposition""]"
8Q4D_C,8Q4D_E,"[""same_pdb_deposition""]"
8QKT_DDD,8QKT_GGG,"[""same_pdb_deposition""]"
8QSZ_B,8QSZ_E,"[""same_pdb_deposition""]"
8QUE_B,8QUE_D,"[""same_pdb_deposition""]"
8QUE_B,8QUE_E,"[""same_pdb_deposition""]"
8QYV_C,8QYV_V,"[""same_pdb_deposition""]"
8R2M_D,8R2M_J,"[""same_pdb_deposition""]"
8R7C_A,8R7C_F,"[""same_pdb_deposition""]"
8R7F_A,8R7F_E,"[""same_pdb_deposition""]"
8RB1_A,8RB1_B,"[""same_pdb_deposition""]"
8RC3_B,8RC3_F,"[""same_pdb_deposition""]"
8RC3_B,8RC3_G,"[""same_pdb_deposition""]"
8RDU_C,8RDU_D,"[""same_pdb_deposition""]"
8RE4_C,8RE4_D,"[""same_pdb_deposition""]"
8RE4_C,8RE4_M,"[""same_pdb_deposition""]"
8RWV_C,8RWV_D,"[""same_pdb_deposition""]"
8RWV_C,8RWV_E,"[""same_pdb_deposition""]"
8S35_F,8S35_G,"[""same_pdb_deposition""]"
8S35_F,8S35_M,"[""same_pdb_deposition""]"
8S82_K,8S82_L,"[""same_pdb_deposition""]"
8S8P_K,8S8P_L,"[""same_pdb_deposition""]"
8S8P_K,8S8P_R,"[""same_pdb_deposition""]"
8T0L_I,8T0L_J,"[""same_pdb_deposition""]"
8TWB_1,8TWB_2,"[""same_pdb_deposition""]"
8TWB_1,8TWB_3,"[""same_pdb_deposition""]"
8UBI_A,8UBI_C,"[""same_pdb_deposition""]"
8UBI_A,8UBI_D,"[""same_pdb_deposition""]"
8UK9_C,8UK9_F,"[""same_pdb_deposition""]"
8UMV_B,8UMV_C,"[""same_pdb_deposition""]"
8UMV_B,8UMV_D,"[""same_pdb_deposition""]"
8UMV_B,8UMV_E,"[""same_pdb_deposition""]"
8UNF_A,8UNF_B,"[""same_pdb_deposition""]"
8URW_C,8URW_D,"[""same_pdb_deposition""]"
8URW_C,8URW_Z,"[""same_pdb_deposition""]"
8VAQ_C,8VAQ_F,"[""same_pdb_deposition""]"
8VCJ_B,8VCJ_X,"[""same_pdb_deposition""]"
8VLR_B,8VLR_D,"[""same_pdb_deposition""]"
8VMJ_K,8VMJ_S,"[""same_pdb_deposition""]"
8VO0_M,8VO0_S,"[""same_pdb_deposition""]"
8W2Q_A,8W2Q_C,"[""same_pdb_deposition""]"
8X15_S,8X15_T,"[""same_pdb_deposition""]"
8X6G_C,8X6G_D,"[""same_pdb_deposition""]"
8X6G_C,8X6G_H,"[""same_pdb_deposition""]"
8X7I_A,8X7I_C,"[""same_pdb_deposition""]"
8X7K_C,8X7K_F,"[""same_pdb_deposition""]"
8X7K_C,8X7K_G,"[""same_pdb_deposition""]"
8XJV_Ab,8XJV_Aq,"[""same_pdb_deposition""]"
8XJV_Ab,8XJV_L,"[""same_pdb_deposition""]"
8XJV_Ab,8XJV_w,"[""same_pdb_deposition""]"
8XMC_B,8XMC_E,"[""same_pdb_deposition""]"
8XX4_A,8XX4_B,"[""same_pdb_deposition""]"
8XX4_A,8XX4_D,"[""same_pdb_deposition""]"
8YJZ_D,8YJZ_H,"[""same_pdb_deposition""]"
8Z0K_A,8Z0K_E,"[""same_pdb_deposition""]"
8ZNJ_A,8ZNJ_B,"[""same_pdb_deposition""]"
9BCU_A,9BCU_G,"[""same_pdb_deposition""]"
9BE6_A,9BE6_C,"[""same_pdb_deposition""]"
9BE6_A,9BE6_D,"[""same_pdb_deposition""]"
9BE6_A,9BE6_F,"[""same_pdb_deposition""]"
9BZ0_E,9BZ0_f,"[""same_pdb_deposition""]"
9C4K_B,9C4K_P,"[""same_pdb_deposition""]"
9CB5_D,9CB5_H,"[""same_pdb_deposition""]"
9D3K_A,9D3K_B,"[""same_pdb_deposition""]"
9D3K_A,9D3K_C,"[""same_pdb_deposition""]"
9D3K_A,9D3K_D,"[""same_pdb_deposition""]"
9D3K_A,9D3K_H,"[""same_pdb_deposition""]"
9D3L_C,9D3L_E,"[""same_pdb_deposition""]"
9D3N_A,9D3N_C,"[""same_pdb_deposition""]"
9D3N_A,9D3N_D,"[""same_pdb_deposition""]"
9D3N_A,9D3N_G,"[""same_pdb_deposition""]"
9D3O_C,9D3O_D,"[""same_pdb_deposition""]"
9D3P_A,9D3P_C,"[""same_pdb_deposition""]"
9D3P_A,9D3P_D,"[""same_pdb_deposition""]"
9D3Q_B,9D3Q_C,"[""same_pdb_deposition""]"
9D3Q_B,9D3Q_D,"[""same_pdb_deposition""]"
9D3Q_B,9D3Q_E,"[""same_pdb_deposition""]"
9D3R_A,9D3R_C,"[""same_pdb_deposition""]"
9D3R_A,9D3R_D,"[""same_pdb_deposition""]"
9D3S_C,9D3S_D,"[""same_pdb_deposition""]"
9D3T_B,9D3T_C,"[""same_pdb_deposition""]"
9D3T_B,9D3T_E,"[""same_pdb_deposition""]"
9D3T_B,9D3T_H,"[""same_pdb_deposition""]"
9E88_C,9E88_D,"[""same_pdb_deposition""]"
9E8Z_C,9E8Z_H,"[""same_pdb_deposition""]"
9ECP_A,9ECP_B,"[""same_pdb_deposition""]"
9ECP_A,9ECP_C,"[""same_pdb_deposition""]"
9ECP_A,9ECP_D,"[""same_pdb_deposition""]"
9EH1_B,9EH1_E,"[""same_pdb_deposition""]"
9EH1_B,9EH1_U,"[""same_pdb_deposition""]"
9EOA_A,9EOA_G,"[""same_pdb_deposition""]"
9EZY_A,9EZY_B,"[""same_pdb_deposition""]"
9F0O_B,9F0O_C,"[""same_pdb_deposition""]"
9F0O_B,9F0O_D,"[""same_pdb_deposition""]"
9F0O_B,9F0O_E,"[""same_pdb_deposition""]"
9F5Y_T,9F5Y_V,"[""same_pdb_deposition""]"
9F5Y_T,9F5Y_W,"[""same_pdb_deposition""]"
9FNE_X,9FNE_Y,"[""same_pdb_deposition""]"
9G44_A,9G44_F,"[""same_pdb_deposition""]"
9GBV_A,9GBV_B,"[""same_pdb_deposition""]"
9GE5_B,9GE5_G,"[""same_pdb_deposition""]"
9GE5_B,9GE5_I,"[""same_pdb_deposition""]"
9GE5_B,9GE5_Q,"[""same_pdb_deposition""]"
9GE5_B,9GE5_T,"[""same_pdb_deposition""]"
9GFM_M,9GFM_P,"[""same_pdb_deposition""]"
9GFM_M,9GFM_Q,"[""same_pdb_deposition""]"
9GFM_M,9GFM_S,"[""same_pdb_deposition""]"
9GFM_M,9GFM_T,"[""same_pdb_deposition""]"
9GS9_A,9GS9_C,"[""same_pdb_deposition""]"
9H1V_A,9H1V_B,"[""same_pdb_deposition""]"
9HP9_A,9HP9_O,"[""same_pdb_deposition""]"
9HQX_B,9HQX_d,"[""same_pdb_deposition""]"
9I04_A,9I04_B,"[""same_pdb_deposition""]"
9I16_A,9I16_D,"[""same_pdb_deposition""]"
9IGX_B,9IGX_C,"[""same_pdb_deposition""]"
9IGX_B,9IGX_K,"[""same_pdb_deposition""]"
9IGX_B,9IGX_L,"[""same_pdb_deposition""]"
9JO8_A,9JO8_D,"[""same_pdb_deposition""]"
9JXS_D,9JXS_E,"[""same_pdb_deposition""]"
9JYZ_P,9JYZ_U,"[""same_pdb_deposition""]"
9K9S_A,9K9S_B,"[""same_pdb_deposition""]"
9KI1_A,9KI1_G,"[""same_pdb_deposition""]"
9KI1_A,9KI1_O,"[""same_pdb_deposition""]"
9KI1_A,9KI1_a,"[""same_pdb_deposition""]"
