global_phenotype,identifier,probability
G_NOISE,1C7J_A,0.0
G_NOISE,1C7Y_A,0.0
G_NOISE,1C89_A,0.0
G006,1C8C_A,1.0
G_NOISE,1C9B_A,0.0
G_NOISE,1C9B_B,0.0
G004,1CBV_H,1.0
G004,1CBV_L,1.0
G_NOISE,1CDW_A,0.0
G_NOISE,1CGP_A,0.0
G_NOISE,1CHM_A,0.0
G_NOISE,1CI9_A,0.0
G005,1CIT_A,0.9019058445353062
G_NOISE,1CJG_A,0.0
G_NOISE,1CKT_A,0.0
G_NOISE,1CKV_A,0.0
G050,1CL8_A,0.48460557944891697
G042,1CLQ_A,0.2330594527407085
G_NOISE,1CMA_A,0.0
G_NOISE,1CMN_A,0.0
G_NOISE,1CO0_A,0.0
G_NOISE,1CUH_A,0.0
G_NOISE,1CW0_A,0.0
G_NOISE,1CYQ_A,0.0
G_NOISE,1CZJ_A,0.0
G_NOISE,1CZY_A,0.0
G_NOISE,1D02_B,0.0
G_NOISE,1D0D_A,0.0
G_NOISE,1D3U_A,0.0
G_NOISE,1D3U_B,0.0
G_NOISE,1D5Y_A,0.0
G_NOISE,1D7E_A,0.0
G038,1D8Y_A,0.1287505246031814
G041,1DC1_B,0.9491482733169372
G032,1DCT_A,0.9361657866689248
G030,1DE8_A,1.0
G030,1DEW_B,1.0
G001,1DH3_A,1.0
G_NOISE,1DHI_A,0.0
G_NOISE,1DL5_A,0.0
G_NOISE,1DMH_A,0.0
G046,1DMU_A,0.26754012984419806
G_NOISE,1DP7_P,0.0
G_NOISE,1DQE_A,0.0
G021,1DRG_A,1.0
G005,1DSZ_B,0.9501925026180874
G007,1DU0_B,1.0
G017,1DUX_C,0.8139986447089433
G_NOISE,1DXK_A,0.0
G_NOISE,1E0X_A,0.0
G_NOISE,1E30_A,0.0
G_NOISE,1E39_A,0.0
G_NOISE,1E4F_T,0.0
G_NOISE,1E6W_D,0.0
G_NOISE,1EA4_F,0.0
G046,1EBM_A,1.0
G_NOISE,1EF9_A,0.0
G_NOISE,1EFA_B,0.0
G_NOISE,1EGL_A,0.0
G_NOISE,1EGW_B,0.0
G_NOISE,1EH9_A,0.0
G_NOISE,1EHK_A,0.0
G004,1EHL_H,1.0
G004,1EHL_L,1.0
G029,1EMH_A,1.0
G_NOISE,1EOO_A,0.0
G_NOISE,1EQ9_A,0.0
G_NOISE,1EQZ_E,0.0
G_NOISE,1EVW_A,0.0
G018,1EWN_A,1.0
G_NOISE,1EYG_A,0.0
G_NOISE,1EYU_A,0.0
G_NOISE,1EZ6_A,0.0
G_NOISE,1F0V_A,0.0
G_NOISE,1F2I_G,0.0
G021,1F44_A,1.0
G_NOISE,1F4S_P,0.0
G034,1F4T_A,1.0
G_NOISE,1F5M_B,0.0
G_NOISE,1F5T_A,0.0
G018,1F6O_A,1.0
G_NOISE,1F94_A,0.0
G_NOISE,1FIU_A,0.0
G_NOISE,1FLO_B,0.0
G046,1FN7_A,1.0
G046,1FOK_A,0.26438796421741234
G001,1FOS_E,1.0
G017,1FYM_A,0.8445857342573156
G_NOISE,1FZ1_F,0.0
G003,1G2D_C,1.0
G003,1G2F_C,1.0
G_NOISE,1G38_A,0.0
G_NOISE,1G4D_A,0.0
G_NOISE,1G63_B,0.0
G_NOISE,1G8K_B,0.0
G039,1G9Z_A,1.0
G_NOISE,1GAT_A,0.0
G_NOISE,1GCC_A,0.0
G001,1GD2_E,1.0
G_NOISE,1GDT_A,0.0
G_NOISE,1GFF_2,0.0
G_NOISE,1GH9_A,0.0
G015,1GJI_A,1.0
G_NOISE,1GKA_B,0.0
G005,1GLU_A,1.0
G_NOISE,1GM5_A,0.0
G_NOISE,1GO3_E,0.0
G_NOISE,1GP0_A,0.0
G_NOISE,1GT0_D,0.0
G_NOISE,1GWT_A,0.0
G019,1GXP_A,0.7386389516771735
G_NOISE,1H0H_B,0.0
G_NOISE,1H1I_B,0.0
G_NOISE,1H2G_B,0.0
G_NOISE,1H6F_B,0.0
G_NOISE,1H88_B,0.0
G_NOISE,1H88_C,0.0
G001,1H89_A,1.0
G_NOISE,1H9D_C,0.0
G_NOISE,1H9T_A,0.0
G_NOISE,1HBX_E,0.0
G_NOISE,1HCR_A,0.0
G007,1HDD_C,1.0
G_NOISE,1HHT_P,0.0
G_NOISE,1HJB_C,0.0
G_NOISE,1HLO_A,0.0
G_NOISE,1HLQ_A,0.0
G_NOISE,1HLV_A,0.0
G_NOISE,1HM2_A,0.0
G_NOISE,1HQI_A,0.0
G_NOISE,1HQM_E,0.0
G_NOISE,1HRY_A,0.0
G049,1HUO_A,0.9818926760424808
G_NOISE,1HW2_A,0.0
G003,1HWT_D,0.8924893339519817
G025,1HYS_A,1.0
G_NOISE,1HYS_B,0.0
G050,1I6J_A,0.48460557944891697
G_NOISE,1I7D_A,0.0
G_NOISE,1I7H_A,0.0
G_NOISE,1I8D_A,0.0
G004,1I8M_B,1.0
G_NOISE,1IAW_A,0.0
G_NOISE,1IF1_A,0.0
G_NOISE,1IG4_A,0.0
G007,1IG7_A,1.0
G_NOISE,1IJS_P,0.0
G_NOISE,1IMH_C,0.0
G_NOISE,1IU3_C,0.0
G_NOISE,1IUH_A,0.0
G_NOISE,1J3E_A,0.0
G_NOISE,1J46_A,0.0
G_NOISE,1J47_A,0.0
G_NOISE,1J5N_A,0.0
G025,1J5O_A,0.9664224082637501
G_NOISE,1J5O_B,0.0
G_NOISE,1J8M_F,0.0
G_NOISE,1JAY_A,0.0
G037,1JET_A,1.0
G_NOISE,1JEY_B,0.0
G_NOISE,1JFI_C,0.0
G_NOISE,1JFS_A,0.0
G_NOISE,1JFT_A,0.0
G007,1JGG_A,1.0
G_NOISE,1JGT_B,0.0
G_NOISE,1JH9_A,0.0
G005,1JJ4_B,1.0
G003,1JK2_A,1.0
G_NOISE,1JLK_A,0.0
G046,1JMC_A,0.26241736880833855
G_NOISE,1JNR_A,0.0
G_NOISE,1JT0_A,0.0
G041,1JUV_A,0.9704916923670991
G_NOISE,1K0H_A,0.0
G007,1K61_A,1.0
G017,1K79_A,1.0
G035,1K82_A,0.7712532086089381
G_NOISE,1KB6_B,0.0
G021,1KBU_A,1.0
G034,1KDH_A,1.0
G_NOISE,1KDJ_A,0.0
G004,1KEG_H,1.0
G004,1KEG_L,1.0
G038,1KLN_A,0.1287505246031814
G_NOISE,1KQQ_A,0.0
G_NOISE,1KSX_A,0.0
G_NOISE,1KSY_B,0.0
G_NOISE,1KTB_A,0.0
G_NOISE,1KU7_A,0.0
G_NOISE,1KX5_E,0.0
G_NOISE,1KX5_F,0.0
G_NOISE,1KYZ_E,0.0
G_NOISE,1KZ1_C,0.0
G_NOISE,1KZL_A,0.0
G_NOISE,1L1M_A,0.0
G035,1L2B_A,1.0
G005,1LAT_B,1.0
G028,1LAU_E,1.0
G_NOISE,1LBG_A,0.0
G_NOISE,1LCC_A,0.0
G015,1LE5_A,1.0
G015,1LE5_B,1.0
G_NOISE,1LE8_A,0.0
G_NOISE,1LFU_P,0.0
G_NOISE,1LFW_A,0.0
G_NOISE,1LLI_B,0.0
G_NOISE,1LLM_C,0.0
G_NOISE,1LMB_4,0.0
G005,1LO1_A,1.0
G_NOISE,1LPQ_A,0.0
G_NOISE,1LQ1_C,0.0
G_NOISE,1LRI_A,0.0
G_NOISE,1LRR_A,0.0
G_NOISE,1LT4_A,0.0
G038,1LV5_A,1.0
G014,1LVM_A,0.9063987371979044
G_NOISE,1LWB_A,0.0
G046,1LWY_A,1.0
G033,1M06_F,1.0
G_NOISE,1M06_G,0.0
G046,1M3Q_A,1.0
G_NOISE,1M5R_A,0.0
G039,1M5X_A,0.6395262915254366
G_NOISE,1M6X_B,0.0
G_NOISE,1MDY_A,0.0
G_NOISE,1MDY_B,0.0
G_NOISE,1MEY_F,0.0
G_NOISE,1MHD_A,0.0
G_NOISE,1MJE_A,0.0
G_NOISE,1MJO_A,0.0
G020,1MM8_A,0.24268099626117073
G_NOISE,1MOW_A,0.0
G_NOISE,1MSE_C,0.0
G_NOISE,1MSW_D,0.0
G020,1MUH_A,0.24268099626117073
G020,1MUS_A,0.24268099626117073
G_NOISE,1MVM_A,0.0
G_NOISE,1MW8_X,0.0
G030,1MWI_A,0.3595967091293471
G_NOISE,1MWW_A,0.0
G046,1N3A_A,1.0
G046,1N3C_A,1.0
G039,1N3E_A,1.0
G_NOISE,1N40_A,0.0
G020,1N48_A,0.8604381213199975
G011,1N6J_A,0.3617032121060678
G_NOISE,1N6Z_A,0.0
G_NOISE,1NBA_D,0.0
G015,1NFK_A,1.0
G_NOISE,1NG6_A,0.0
G026,1NG9_A,0.802538327255504
G_NOISE,1NK2_P,0.0
G038,1NK4_A,1.0
G_NOISE,1NKP_A,0.0
G_NOISE,1NKP_B,0.0
G_NOISE,1NLW_A,0.0
G_NOISE,1NLW_B,0.0
G_NOISE,1NNE_A,0.0
G_NOISE,1NVP_A,0.0
G001,1NWQ_A,1.0
G_NOISE,1NWW_B,0.0
G021,1NZB_A,1.0
G_NOISE,1O3Q_A,0.0
G_NOISE,1O3S_A,0.0
G_NOISE,1ODG_A,0.0
G_NOISE,1ODH_A,0.0
G037,1ODZ_A,0.983350592384147
G030,1OE4_A,0.3784771412015541
G_NOISE,1OJQ_A,0.0
G_NOISE,1ORN_A,0.0
G_NOISE,1OSB_A,0.0
G_NOISE,1OUP_A,0.0
G_NOISE,1OWF_A,0.0
G_NOISE,1OWF_B,0.0
G_NOISE,1OWG_B,0.0
G_NOISE,1OWR_M,0.0
G_NOISE,1OX3_A,0.0
G034,1P0W_B,1.0
G_NOISE,1P1L_A,0.0
G003,1P47_A,1.0
G_NOISE,1P4E_B,0.0
G_NOISE,1P59_A,0.0
G_NOISE,1P5W_A,0.0
G_NOISE,1P71_A,0.0
G_NOISE,1P7H_L,0.0
G_NOISE,1PAH_A,0.0
G_NOISE,1PAV_A,0.0
G_NOISE,1PC5_A,0.0
G_NOISE,1PDN_C,0.0
G_NOISE,1PER_L,0.0
G_NOISE,1PF3_A,0.0
G_NOISE,1PF5_A,0.0
G_NOISE,1PFI_A,0.0
G041,1PGT_A,0.9466357110271764
G_NOISE,1PGZ_A,0.0
G_NOISE,1PH1_A,0.0
G_NOISE,1PH3_A,0.0
G_NOISE,1PH3_B,0.0
G_NOISE,1PH5_A,0.0
G_NOISE,1PH6_B,0.0
G_NOISE,1PIX_A,0.0
G035,1PJJ_A,1.0
G_NOISE,1PO6_A,0.0
G_NOISE,1PPF_I,0.0
G_NOISE,1PRC_C,0.0
G_NOISE,1PRN_A,0.0
G_NOISE,1PT3_A,0.0
G_NOISE,1PUE_F,0.0
G_NOISE,1PUF_A,0.0
G_NOISE,1PUF_B,0.0
G021,1PVP_A,1.0
G021,1PVR_A,1.0
G_NOISE,1PYI_A,0.0
G_NOISE,1Q0R_A,0.0
G_NOISE,1Q0T_A,0.0
G037,1Q19_A,1.0
G_NOISE,1Q23_B,0.0
G_NOISE,1Q27_A,0.0
G021,1Q3U_A,1.0
G_NOISE,1Q4T_A,0.0
G_NOISE,1Q5E_A,0.0
G042,1Q9Y_A,0.8526743158447686
G050,1QAI_A,0.48460557944891697
G050,1QAJ_A,0.48460557944891697
G_NOISE,1QEX_A,0.0
G_NOISE,1QHX_A,0.0
G003,1QP9_A,0.8924893339519817
G_NOISE,1QPI_A,0.0
G041,1QPS_A,1.0
G_NOISE,1QPZ_A,0.0
G041,1QRH_A,1.0
G041,1QRI_A,1.0
G_NOISE,1QRV_A,0.0
G_NOISE,1QSS_A,0.0
G_NOISE,1QTM_A,0.0
G038,1QUM_A,0.10058031767918621
G_NOISE,1QZG_A,0.0
G025,1R0A_A,0.9284552510372543
G_NOISE,1R0A_B,0.0
G005,1R0N_A,1.0
G035,1R2Z_A,1.0
G_NOISE,1R49_A,0.0
G_NOISE,1R8D_A,0.0
G012,1R8E_A,1.0
G_NOISE,1RCS_A,0.0
G_NOISE,1RFX_A,0.0
G017,1RNB_A,0.8031991311058484
G_NOISE,1RQW_A,0.0
G025,1RTD_A,1.0
G_NOISE,1RTD_B,0.0
G_NOISE,1RUO_B,0.0
G_NOISE,1RWI_A,0.0
G034,1RXW_A,0.9835486566335491
G_NOISE,1RYL_A,0.0
G_NOISE,1RZM_A,0.0
G050,1RZT_A,1.0
G_NOISE,1S40_A,0.0
G_NOISE,1S9K_C,0.0
G001,1S9K_D,1.0
G001,1S9K_E,1.0
G038,1S9R_A,0.10058031767918621
G_NOISE,1SA3_A,0.0
G_NOISE,1SAX_A,0.0
G005,1SFU_A,0.9086313727883616
G_NOISE,1SK7_A,0.0
G_NOISE,1SQU_B,0.0
G_NOISE,1SR8_A,0.0
G_NOISE,1SUM_B,0.0
G_NOISE,1SUW_A,0.0
G_NOISE,1SUZ_A,0.0
G_NOISE,1SX5_A,0.0
G_NOISE,1T03_B,0.0
G_NOISE,1T05_B,0.0
G_NOISE,1T2K_A,0.0
G001,1T2K_C,1.0
G001,1T2K_D,1.0
G_NOISE,1T2S_A,0.0
G_NOISE,1T3N_A,0.0
G_NOISE,1T6K_A,0.0
G018,1T71_A,1.0
G_NOISE,1T8E_B,0.0
G039,1T9I_B,1.0
G039,1T9J_A,1.0
G_NOISE,1TAU_A,0.0
G_NOISE,1TC3_C,0.0
G_NOISE,1TDP_A,0.0
G035,1TDZ_A,1.0
G_NOISE,1TEJ_B,0.0
G041,1TEZ_A,1.0
G003,1TF3_A,1.0
G_NOISE,1TF6_D,0.0
G_NOISE,1TGH_A,0.0
G_NOISE,1TKD_A,0.0
G_NOISE,1TM9_A,0.0
G011,1TQE_P,0.3617032121060678
G_NOISE,1TRO_A,0.0
G_NOISE,1TRR_A,0.0
G049,1TV9_A,1.0
G_NOISE,1TWU_A,0.0
G039,1U0C_A,1.0
G039,1U0D_A,0.8772102831708208
G_NOISE,1U1Q_A,0.0
G_NOISE,1U3E_M,0.0
G038,1U4B_A,0.9749297347342479
G_NOISE,1U8R_H,0.0
G045,1UAA_A,0.26887453669208455
G003,1UBD_C,0.9312962259135829
G_NOISE,1ULI_C,0.0
G_NOISE,1UMD_A,0.0
G_NOISE,1USY_A,0.0
G_NOISE,1UUT_A,0.0
G_NOISE,1V15_B,0.0
G_NOISE,1V1A_A,0.0
G037,1V3I_A,1.0
G_NOISE,1VAS_A,0.0
G_NOISE,1VC1_A,0.0
G_NOISE,1VDW_A,0.0
G_NOISE,1VFC_A,0.0
G015,1VKX_A,1.0
G_NOISE,1VLC_A,0.0
G_NOISE,1VOL_A,0.0
G_NOISE,1VOL_B,0.0
G_NOISE,1VPW_A,0.0
G_NOISE,1VRL_A,0.0
G_NOISE,1VTL_E,0.0
G_NOISE,1VTN_C,0.0
G_NOISE,1VTO_B,0.0
G007,1W0T_A,0.9763666084114955
G_NOISE,1W0U_A,0.0
G_NOISE,1W36_B,0.0
G_NOISE,1W36_C,0.0
G026,1W7A_A,0.802538327255504
G026,1WB9_A,0.802538327255504
G014,1WBA_A,1.0
G026,1WBB_A,0.802538327255504
G026,1WBD_A,0.802538327255504
G_NOISE,1WC2_A,0.0
G_NOISE,1WM4_A,0.0
G_NOISE,1WPI_A,0.0
G_NOISE,1WSR_A,0.0
G_NOISE,1WTB_A,0.0
G_NOISE,1WTE_A,0.0
G006,1WTO_A,1.0
G006,1WTQ_A,1.0
G006,1WTR_A,1.0
G006,1WTW_A,1.0
G_NOISE,1WVL_A,0.0
G_NOISE,1X9E_A,0.0
G_NOISE,1X9J_A,0.0
G039,1XBR_A,0.6395262915254366
G037,1XFI_A,1.0
G_NOISE,1XJV_A,0.0
G_NOISE,1XN8_A,0.0
G021,1XNS_A,1.0
G021,1XO0_A,1.0
G_NOISE,1XS9_A,0.0
G_NOISE,1XSD_A,0.0
G050,1XSL_A,1.0
G_NOISE,1XXU_A,0.0
G006,1XYI_A,1.0
G_NOISE,1Y1P_A,0.0
G_NOISE,1Y23_B,0.0
G046,1Y6F_A,0.26754012984419806
G031,1YCL_A,1.0
G_NOISE,1YF3_A,0.0
G_NOISE,1YFH_A,0.0
G_NOISE,1YFJ_A,0.0
G_NOISE,1YNV_X,0.0
G_NOISE,1YO5_C,0.0
G_NOISE,1YPQ_B,0.0
G046,1YQK_A,1.0
G046,1YQR_A,1.0
G_NOISE,1YS6_B,0.0
G001,1YSA_C,1.0
G034,1YT5_A,0.9835486566335491
G_NOISE,1YTB_A,0.0
G_NOISE,1YTN_A,0.0
G_NOISE,1YU0_A,0.0
G_NOISE,1YUI_A,0.0
G_NOISE,1YUK_A,0.0
G_NOISE,1YX7_A,0.0
G_NOISE,1Z9C_C,0.0
G003,1ZAA_C,1.0
G019,1ZBI_B,1.0
G019,1ZBL_A,1.0
G_NOISE,1ZCJ_A,0.0
G_NOISE,1ZDS_B,0.0
G_NOISE,1ZGS_A,0.0
G_NOISE,1ZHV_A,0.0
G_NOISE,1ZME_C,0.0
G_NOISE,1ZQ3_P,0.0
G_NOISE,1ZR4_A,0.0
G_NOISE,1ZRF_A,0.0
G_NOISE,1ZS4_A,0.0
G_NOISE,1ZTG_B,0.0
G050,1ZTW_A,0.48460557944891697
G_NOISE,1ZVO_C,0.0
G_NOISE,1ZVV_A,0.0
G_NOISE,1ZYQ_A,0.0
G_NOISE,1ZZI_A,0.0
G_NOISE,21NP_A,0.0
G_NOISE,21VV_K,0.0
G051,22EU_A,0.6531973103239633
G_NOISE,22EU_B,0.0
G_NOISE,23NX_A,0.0
G_NOISE,24BP_A,0.0
G_NOISE,24BQ_A,0.0
G_NOISE,24QP_Q,0.0
G_NOISE,25EC_B,0.0
G_NOISE,25HS_D,0.0
G034,25QC_A,0.9835486566335491
G041,28KE_B,0.9600876817560661
G_NOISE,28OP_N,0.0
G_NOISE,2A3V_B,0.0
G_NOISE,2A6O_A,0.0
G_NOISE,2A6Z_A,0.0
G041,2A8D_A,1.0
G_NOISE,2ACJ_C,0.0
G_NOISE,2AD6_A,0.0
G_NOISE,2AD6_B,0.0
G_NOISE,2AHV_A,0.0
G_NOISE,2AJQ_A,0.0
G037,2AN3_B,1.0
G_NOISE,2AOR_B,0.0
G_NOISE,2AS5_M,0.0
G020,2ASD_A,1.0
G_NOISE,2AYG_A,0.0
G_NOISE,2B5X_A,0.0
G046,2B7U_A,0.38788558976287857
G_NOISE,2B99_C,0.0
G_NOISE,2B9S_A,0.0
G034,2BAM_B,0.9543257411608346
G038,2BDP_A,1.0
G037,2BGH_A,0.9703817474785196
G_NOISE,2BGW_A,0.0
G_NOISE,2BJC_A,0.0
G_NOISE,2BNW_B,0.0
G_NOISE,2BOL_A,0.0
G_NOISE,2BOP_A,0.0
G033,2BPA_1,1.0
G_NOISE,2BPA_3,0.0
G_NOISE,2BSQ_A,0.0
G_NOISE,2BT1_A,0.0
G_NOISE,2BVW_A,0.0
G_NOISE,2BZF_A,0.0
G_NOISE,2C12_A,0.0
G_NOISE,2C5R_B,0.0
G_NOISE,2C62_A,0.0
G005,2C7A_A,1.0
G046,2C7P_A,0.2748945294827415
G046,2C7R_A,0.2748945294827415
G_NOISE,2C9L_Y,0.0
G_NOISE,2C9N_Y,0.0
G_NOISE,2CCZ_A,0.0
G_NOISE,2CLI_B,0.0
G_NOISE,2CN3_A,0.0
G_NOISE,2CWL_A,0.0
G_NOISE,2CY3_A,0.0
G_NOISE,2D1C_A,0.0
G_NOISE,2D7D_A,0.0
G_NOISE,2D8M_A,0.0
G_NOISE,2DE6_B,0.0
G_NOISE,2DNJ_A,0.0
G_NOISE,2DP6_A,0.0
G_NOISE,2DPD_B,0.0
G_NOISE,2DRP_D,0.0
G042,2DTU_A,0.23597739390351102
G_NOISE,2DWM_A,0.0
G_NOISE,2E52_A,0.0
G_NOISE,2E5V_A,0.0
G_NOISE,2EA0_A,0.0
G038,2EB6_A,0.11100037199679551
G_NOISE,2EGJ_A,0.0
G_NOISE,2EIU_E,0.0
G_NOISE,2EJA_A,0.0
G003,2ER8_A,0.8924893339519817
G003,2ERG_A,0.8924893339519817
G_NOISE,2ES2_A,0.0
G039,2EX5_A,0.6395262915254366
G_NOISE,2EXF_A,0.0
G034,2EZV_B,1.0
G_NOISE,2F2C_A,0.0
G_NOISE,2F55_A,0.0
G035,2F5P_A,1.0
G035,2F5Q_A,1.0
G008,2F8N_G,0.46848987482542465
G_NOISE,2F8X_C,0.0
G_NOISE,2F9Z_A,0.0
G_NOISE,2FCC_A,0.0
G_NOISE,2FCR_A,0.0
G005,2FF0_A,0.9501925026180874
G_NOISE,2FHL_A,0.0
G_NOISE,2FIO_A,0.0
G_NOISE,2FKC_A,0.0
G039,2FLD_B,0.6395262915254366
G_NOISE,2FO1_A,0.0
G004,2FR4_A,1.0
G004,2FR4_B,1.0
G_NOISE,2G5H_C,0.0
G_NOISE,2G5X_A,0.0
G019,2G8K_A,1.0
G_NOISE,2GAI_A,0.0
G_NOISE,2GAK_A,0.0
G_NOISE,2GAT_A,0.0
G_NOISE,2GB7_B,0.0
G_NOISE,2GCA_A,0.0
G_NOISE,2GE5_A,0.0
G014,2GEQ_B,1.0
G_NOISE,2GIE_A,0.0
G_NOISE,2GIH_A,0.0
G_NOISE,2GJP_A,0.0
G_NOISE,2GKD_A,0.0
G_NOISE,2GLI_A,0.0
G005,2GLO_A,0.9501925026180874
G_NOISE,2GM4_A,0.0
G039,2GRR_A,0.6093978614028488
G_NOISE,2GXA_E,0.0
G_NOISE,2GZK_A,0.0
G_NOISE,2H1K_B,0.0
G_NOISE,2H1O_A,0.0
G_NOISE,2H1O_E,0.0
G_NOISE,2H27_A,0.0
G_NOISE,2H3A_A,0.0
G_NOISE,2H47_F,0.0
G001,2H7H_A,1.0
G028,2H8C_B,0.9322811345356058
G_NOISE,2H9Z_A,0.0
G003,2HAP_C,0.8924893339519817
G_NOISE,2HAX_A,0.0
G_NOISE,2HDC_A,0.0
G007,2HDD_B,1.0
G038,2HHV_A,0.9318432458412699
G025,2HMI_A,0.9664224082637501
G_NOISE,2HMI_B,0.0
G021,2HOI_A,1.0
G007,2HOS_B,1.0
G_NOISE,2HVR_A,0.0
G_NOISE,2HY5_B,0.0
G021,2I06_A,1.0
G_NOISE,2I0F_A,0.0
G_NOISE,2I0M_A,0.0
G_NOISE,2I0Q_A,0.0
G039,2I3P_A,1.0
G039,2I3Q_A,0.918888837123731
G046,2I5W_A,1.0
G046,2I9K_A,0.2748945294827415
G015,2I9T_A,1.0
G_NOISE,2IAP_A,0.0
G_NOISE,2IC8_A,0.0
G_NOISE,2IEF_A,0.0
G_NOISE,2IFC_C,0.0
G046,2IHM_B,0.2907999796755634
G_NOISE,2IHN_A,0.0
G_NOISE,2IHV_A,0.0
G_NOISE,2IIE_A,0.0
G_NOISE,2IIF_A,0.0
G020,2IMW_P,1.0
G_NOISE,2IN0_A,0.0
G_NOISE,2IRF_G,0.0
G045,2IS6_A,0.26887453669208455
G_NOISE,2IT0_A,0.0
G_NOISE,2ITL_A,0.0
G_NOISE,2IVH_A,0.0
G018,2IX5_A,1.0
G020,2J6U_A,1.0
G046,2J9F_A,0.26754012984419806
G_NOISE,2JHP_A,0.0
G_NOISE,2JIN_A,0.0
G_NOISE,2JLG_A,0.0
G_NOISE,2JP9_A,0.0
G_NOISE,2JSO_A,0.0
G_NOISE,2JTO_A,0.0
G_NOISE,2JX1_A,0.0
G_NOISE,2JXI_A,0.0
G_NOISE,2K0Q_A,0.0
G_NOISE,2K1N_A,0.0
G_NOISE,2K2Q_B,0.0
G013,2K7F_A,1.0
G_NOISE,2KB4_A,0.0
G_NOISE,2KCW_A,0.0
G_NOISE,2KDZ_A,0.0
G038,2KFN_A,0.1287505246031814
G_NOISE,2KKF_A,0.0
G_NOISE,2KMK_A,0.0
G_NOISE,2KMT_A,0.0
G_NOISE,2KN7_A,0.0
G_NOISE,2KO0_A,0.0
G_NOISE,2KTQ_A,0.0
G_NOISE,2KWB_A,0.0
G_NOISE,2KY8_A,0.0
G_NOISE,2L4L_A,0.0
G_NOISE,2L4Q_A,0.0
G_NOISE,2L8B_A,0.0
G_NOISE,2L97_A,0.0
G_NOISE,2LBT_A,0.0
G_NOISE,2LD5_A,0.0
G_NOISE,2LEF_A,0.0
G_NOISE,2LEN_A,0.0
G_NOISE,2LEV_A,0.0
G_NOISE,2LGD_A,0.0
G_NOISE,2LHR_A,0.0
G_NOISE,2LJP_A,0.0
G_NOISE,2LKX_A,0.0
G_NOISE,2LLF_A,0.0
G_NOISE,2LLI_A,0.0
G_NOISE,2LNA_A,0.0
G_NOISE,2LOE_A,0.0
G_NOISE,2LON_A,0.0
G_NOISE,2LOR_A,0.0
G_NOISE,2LQO_A,0.0
G_NOISE,2LRJ_A,0.0
G_NOISE,2LRK_A,0.0
G_NOISE,2LS8_A,0.0
G_NOISE,2LT5_A,0.0
G_NOISE,2LT7_A,0.0
G_NOISE,2LTT_A,0.0
G_NOISE,2M2W_A,0.0
G_NOISE,2MAP_A,0.0
G_NOISE,2MCQ_A,0.0
G_NOISE,2ME6_A,0.0
G_NOISE,2MNA_A,0.0
G_NOISE,2MOE_A,0.0
G_NOISE,2MT9_A,0.0
G_NOISE,2MTZ_A,0.0
G_NOISE,2N8A_A,0.0
G_NOISE,2N9W_A,0.0
G_NOISE,2NBJ_A,0.0
G005,2NLL_A,0.9501925026180874
G003,2NLL_B,0.9477941335083073
